distance,house_id,facility_id
97,fs0101h001,fs0101f001
402,fs0101h001,fs0101f002
531,fs0101h001,fs0101f003
536,fs0101h001,fs0101f004
551,fs0101h001,fs0101f005
596,fs0101h001,fs0101f006
854,fs0101h001,fs0101f007
941,fs0101h001,fs0101f008
944,fs0101h001,fs0101f009
1055,fs0101h001,fs0101f010
1337,fs0101h001,fs0101f011
1704,fs0101h001,fs0101f012
2815,fs0101h001,fs0101f013
2968,fs0101h001,fs0101f014
2968,fs0101h001,sz0301f014
1377,fs0101h001,fs0101f015
2192,fs0101h001,fs0101f016
2514,fs0101h001,fs0101f017
2552,fs0101h001,fs0101f018
2650,fs0101h001,fs0101f019
138,fs0101h001,fs0101f020
545,fs0101h001,fs0101f021
608,fs0101h001,fs0101f022
820,fs0101h001,fs0101f023
1028,fs0101h001,fs0101f024
1042,fs0101h001,fs0101f025
1142,fs0101h001,fs0101f026
1311,fs0101h001,fs0101f027
1333,fs0101h001,fs0101f028
1371,fs0101h001,fs0101f029
1422,fs0101h001,fs0101f030
1483,fs0101h001,fs0101f031
1518,fs0101h001,fs0101f032
1529,fs0101h001,fs0101f033
1565,fs0101h001,fs0101f034
1567,fs0101h001,fs0101f035
1593,fs0101h001,fs0101f036
1603,fs0101h001,fs0101f037
1611,fs0101h001,fs0101f038
1665,fs0101h001,fs0101f039
1695,fs0101h001,fs0101f040
1721,fs0101h001,fs0101f041
1723,fs0101h001,fs0101f042
1768,fs0101h001,fs0101f043
1790,fs0101h001,fs0101f044
1906,fs0101h001,fs0101f045
1934,fs0101h001,fs0101f046
1944,fs0101h001,fs0101f047
1962,fs0101h001,fs0101f048
2061,fs0101h001,fs0101f049
2069,fs0101h001,fs0101f050
2121,fs0101h001,fs0101f051
2141,fs0101h001,fs0101f052
2149,fs0101h001,fs0101f053
2150,fs0101h001,fs0101f054
2153,fs0101h001,fs0101f055
2170,fs0101h001,fs0101f056
2171,fs0101h001,fs0101f057
2197,fs0101h001,fs0101f058
2219,fs0101h001,fs0101f059
2227,fs0101h001,fs0101f060
2231,fs0101h001,fs0101f061
2240,fs0101h001,fs0101f062
2246,fs0101h001,fs0101f063
2255,fs0101h001,fs0101f064
2262,fs0101h001,fs0101f065
2301,fs0101h001,fs0101f066
2309,fs0101h001,fs0101f067
2370,fs0101h001,fs0101f068
2411,fs0101h001,fs0101f069
2445,fs0101h001,fs0101f070
2458,fs0101h001,fs0101f071
2459,fs0101h001,fs0101f072
2528,fs0101h001,fs0101f073
2556,fs0101h001,fs0101f074
2557,fs0101h001,fs0101f075
2676,fs0101h001,fs0101f076
2728,fs0101h001,fs0101f077
2779,fs0101h001,fs0101f078
2807,fs0101h001,fs0101f079
2828,fs0101h001,fs0101f080
2849,fs0101h001,fs0101f081
2861,fs0101h001,fs0101f082
2865,fs0101h001,fs0101f083
2872,fs0101h001,fs0101f084
2885,fs0101h001,fs0101f085
2892,fs0101h001,fs0101f086
2973,fs0101h001,fs0101f087
2984,fs0101h001,fs0101f088
1587,fs0101h001,fs0101f089
1602,fs0101h001,fs0101f090
1832,fs0101h001,fs0101f091
2167,fs0101h001,fs0101f092
2511,fs0101h001,fs0101f093
2544,fs0101h001,fs0101f094
2633,fs0101h001,fs0101f095
2678,fs0101h001,fs0101f096
97,fs0303h001,fs0101f001
402,fs0303h001,fs0101f002
531,fs0303h001,fs0101f003
536,fs0303h001,fs0101f004
551,fs0303h001,fs0101f005
596,fs0303h001,fs0101f006
854,fs0303h001,fs0101f007
941,fs0303h001,fs0101f008
944,fs0303h001,fs0101f009
1055,fs0303h001,fs0101f010
1337,fs0303h001,fs0101f011
1704,fs0303h001,fs0101f012
2815,fs0303h001,fs0101f013
2968,fs0303h001,fs0101f014
2968,fs0303h001,sz0301f014
1377,fs0303h001,fs0101f015
2192,fs0303h001,fs0101f016
2514,fs0303h001,fs0101f017
2552,fs0303h001,fs0101f018
2650,fs0303h001,fs0101f019
138,fs0303h001,fs0101f020
545,fs0303h001,fs0101f021
608,fs0303h001,fs0101f022
820,fs0303h001,fs0101f023
1028,fs0303h001,fs0101f024
1042,fs0303h001,fs0101f025
1142,fs0303h001,fs0101f026
1311,fs0303h001,fs0101f027
1333,fs0303h001,fs0101f028
1371,fs0303h001,fs0101f029
1422,fs0303h001,fs0101f030
1483,fs0303h001,fs0101f031
1518,fs0303h001,fs0101f032
1529,fs0303h001,fs0101f033
1565,fs0303h001,fs0101f034
1567,fs0303h001,fs0101f035
1593,fs0303h001,fs0101f036
1603,fs0303h001,fs0101f037
1611,fs0303h001,fs0101f038
1665,fs0303h001,fs0101f039
1695,fs0303h001,fs0101f040
1721,fs0303h001,fs0101f041
1723,fs0303h001,fs0101f042
1768,fs0303h001,fs0101f043
1790,fs0303h001,fs0101f044
1906,fs0303h001,fs0101f045
1934,fs0303h001,fs0101f046
1944,fs0303h001,fs0101f047
1962,fs0303h001,fs0101f048
2061,fs0303h001,fs0101f049
2069,fs0303h001,fs0101f050
2121,fs0303h001,fs0101f051
2141,fs0303h001,fs0101f052
2149,fs0303h001,fs0101f053
2150,fs0303h001,fs0101f054
2153,fs0303h001,fs0101f055
2170,fs0303h001,fs0101f056
2171,fs0303h001,fs0101f057
2197,fs0303h001,fs0101f058
2219,fs0303h001,fs0101f059
2227,fs0303h001,fs0101f060
2231,fs0303h001,fs0101f061
2240,fs0303h001,fs0101f062
2246,fs0303h001,fs0101f063
2255,fs0303h001,fs0101f064
2262,fs0303h001,fs0101f065
2301,fs0303h001,fs0101f066
2309,fs0303h001,fs0101f067
2370,fs0303h001,fs0101f068
2411,fs0303h001,fs0101f069
2445,fs0303h001,fs0101f070
2458,fs0303h001,fs0101f071
2459,fs0303h001,fs0101f072
2528,fs0303h001,fs0101f073
2556,fs0303h001,fs0101f074
2557,fs0303h001,fs0101f075
2676,fs0303h001,fs0101f076
2728,fs0303h001,fs0101f077
2779,fs0303h001,fs0101f078
2807,fs0303h001,fs0101f079
2828,fs0303h001,fs0101f080
2849,fs0303h001,fs0101f081
2861,fs0303h001,fs0101f082
2865,fs0303h001,fs0101f083
2872,fs0303h001,fs0101f084
2885,fs0303h001,fs0101f085
2892,fs0303h001,fs0101f086
2973,fs0303h001,fs0101f087
2984,fs0303h001,fs0101f088
1587,fs0303h001,fs0101f089
1602,fs0303h001,fs0101f090
1832,fs0303h001,fs0101f091
2167,fs0303h001,fs0101f092
2511,fs0303h001,fs0101f093
2544,fs0303h001,fs0101f094
2633,fs0303h001,fs0101f095
2678,fs0303h001,fs0101f096
97,fs0401h001,fs0101f001
402,fs0401h001,fs0101f002
531,fs0401h001,fs0101f003
536,fs0401h001,fs0101f004
551,fs0401h001,fs0101f005
596,fs0401h001,fs0101f006
854,fs0401h001,fs0101f007
941,fs0401h001,fs0101f008
944,fs0401h001,fs0101f009
1055,fs0401h001,fs0101f010
1337,fs0401h001,fs0101f011
1704,fs0401h001,fs0101f012
2815,fs0401h001,fs0101f013
2968,fs0401h001,fs0101f014
2968,fs0401h001,sz0301f014
1377,fs0401h001,fs0101f015
2192,fs0401h001,fs0101f016
2514,fs0401h001,fs0101f017
2552,fs0401h001,fs0101f018
2650,fs0401h001,fs0101f019
138,fs0401h001,fs0101f020
545,fs0401h001,fs0101f021
608,fs0401h001,fs0101f022
820,fs0401h001,fs0101f023
1028,fs0401h001,fs0101f024
1042,fs0401h001,fs0101f025
1142,fs0401h001,fs0101f026
1311,fs0401h001,fs0101f027
1333,fs0401h001,fs0101f028
1371,fs0401h001,fs0101f029
1422,fs0401h001,fs0101f030
1483,fs0401h001,fs0101f031
1518,fs0401h001,fs0101f032
1529,fs0401h001,fs0101f033
1565,fs0401h001,fs0101f034
1567,fs0401h001,fs0101f035
1593,fs0401h001,fs0101f036
1603,fs0401h001,fs0101f037
1611,fs0401h001,fs0101f038
1665,fs0401h001,fs0101f039
1695,fs0401h001,fs0101f040
1721,fs0401h001,fs0101f041
1723,fs0401h001,fs0101f042
1768,fs0401h001,fs0101f043
1790,fs0401h001,fs0101f044
1906,fs0401h001,fs0101f045
1934,fs0401h001,fs0101f046
1944,fs0401h001,fs0101f047
1962,fs0401h001,fs0101f048
2061,fs0401h001,fs0101f049
2069,fs0401h001,fs0101f050
2121,fs0401h001,fs0101f051
2141,fs0401h001,fs0101f052
2149,fs0401h001,fs0101f053
2150,fs0401h001,fs0101f054
2153,fs0401h001,fs0101f055
2170,fs0401h001,fs0101f056
2171,fs0401h001,fs0101f057
2197,fs0401h001,fs0101f058
2219,fs0401h001,fs0101f059
2227,fs0401h001,fs0101f060
2231,fs0401h001,fs0101f061
2240,fs0401h001,fs0101f062
2246,fs0401h001,fs0101f063
2255,fs0401h001,fs0101f064
2262,fs0401h001,fs0101f065
2301,fs0401h001,fs0101f066
2309,fs0401h001,fs0101f067
2370,fs0401h001,fs0101f068
2411,fs0401h001,fs0101f069
2445,fs0401h001,fs0101f070
2458,fs0401h001,fs0101f071
2459,fs0401h001,fs0101f072
2528,fs0401h001,fs0101f073
2556,fs0401h001,fs0101f074
2557,fs0401h001,fs0101f075
2676,fs0401h001,fs0101f076
2728,fs0401h001,fs0101f077
2779,fs0401h001,fs0101f078
2807,fs0401h001,fs0101f079
2828,fs0401h001,fs0101f080
2849,fs0401h001,fs0101f081
2861,fs0401h001,fs0101f082
2865,fs0401h001,fs0101f083
2872,fs0401h001,fs0101f084
2885,fs0401h001,fs0101f085
2892,fs0401h001,fs0101f086
2973,fs0401h001,fs0101f087
2984,fs0401h001,fs0101f088
1587,fs0401h001,fs0101f089
1602,fs0401h001,fs0101f090
1832,fs0401h001,fs0101f091
2167,fs0401h001,fs0101f092
2511,fs0401h001,fs0101f093
2544,fs0401h001,fs0101f094
2633,fs0401h001,fs0101f095
2678,fs0401h001,fs0101f096
346,fs0303h002,fs0303f001
749,fs0303h002,fs0303f002
959,fs0303h002,fs0303f003
1449,fs0303h002,fs0303f004
1989,fs0303h002,fs0303f005
559,fs0303h002,fs0303f006
953,fs0303h002,fs0303f007
987,fs0303h002,fs0303f008
1028,fs0303h002,fs0303f009
1029,fs0303h002,fs0303f010
1136,fs0303h002,fs0303f011
1140,fs0303h002,fs0303f012
1140,fs0303h002,fs0303f013
1181,fs0303h002,fs0303f014
1275,fs0303h002,fs0303f015
1275,fs0303h002,sz0702f220
1279,fs0303h002,fs0303f016
1520,fs0303h002,fs0303f017
1671,fs0303h002,fs0303f018
1815,fs0303h002,fs0303f019
1836,fs0303h002,fs0303f020
1935,fs0303h002,fs0303f021
1958,fs0303h002,fs0303f022
2100,fs0303h002,fs0303f023
2246,fs0303h002,fs0303f024
2258,fs0303h002,fs0303f025
2261,fs0303h002,fs0303f026
2261,fs0303h002,fs0303f027
2263,fs0303h002,fs0303f028
2335,fs0303h002,fs0303f029
2352,fs0303h002,fs0303f030
2371,fs0303h002,fs0303f031
2430,fs0303h002,fs0303f032
2507,fs0303h002,fs0303f033
2523,fs0303h002,fs0303f034
2555,fs0303h002,fs0303f035
2589,fs0303h002,fs0303f036
2659,fs0303h002,fs0303f037
2788,fs0303h002,fs0303f038
2945,fs0303h002,fs0303f039
2830,fs0303h002,fs0303f040
346,fs0102h001,fs0303f001
749,fs0102h001,fs0303f002
959,fs0102h001,fs0303f003
1449,fs0102h001,fs0303f004
1989,fs0102h001,fs0303f005
559,fs0102h001,fs0303f006
953,fs0102h001,fs0303f007
987,fs0102h001,fs0303f008
1028,fs0102h001,fs0303f009
1029,fs0102h001,fs0303f010
1136,fs0102h001,fs0303f011
1140,fs0102h001,fs0303f012
1140,fs0102h001,fs0303f013
1181,fs0102h001,fs0303f014
1275,fs0102h001,fs0303f015
1275,fs0102h001,sz0702f220
1279,fs0102h001,fs0303f016
1520,fs0102h001,fs0303f017
1671,fs0102h001,fs0303f018
1815,fs0102h001,fs0303f019
1836,fs0102h001,fs0303f020
1935,fs0102h001,fs0303f021
1958,fs0102h001,fs0303f022
2100,fs0102h001,fs0303f023
2246,fs0102h001,fs0303f024
2258,fs0102h001,fs0303f025
2261,fs0102h001,fs0303f026
2261,fs0102h001,fs0303f027
2263,fs0102h001,fs0303f028
2335,fs0102h001,fs0303f029
2352,fs0102h001,fs0303f030
2371,fs0102h001,fs0303f031
2430,fs0102h001,fs0303f032
2507,fs0102h001,fs0303f033
2523,fs0102h001,fs0303f034
2555,fs0102h001,fs0303f035
2589,fs0102h001,fs0303f036
2659,fs0102h001,fs0303f037
2788,fs0102h001,fs0303f038
2945,fs0102h001,fs0303f039
2830,fs0102h001,fs0303f040
346,fs0203h002,fs0303f001
749,fs0203h002,fs0303f002
959,fs0203h002,fs0303f003
1449,fs0203h002,fs0303f004
1989,fs0203h002,fs0303f005
559,fs0203h002,fs0303f006
953,fs0203h002,fs0303f007
987,fs0203h002,fs0303f008
1028,fs0203h002,fs0303f009
1029,fs0203h002,fs0303f010
1136,fs0203h002,fs0303f011
1140,fs0203h002,fs0303f012
1140,fs0203h002,fs0303f013
1181,fs0203h002,fs0303f014
