facility_type,facility_name,facility_id
交通,化纤厂,fs0101f001
交通,火车站(江边村),fs0101f002
交通,涌口,fs0101f003
交通,郊边,fs0101f004
交通,佛罗路中,fs0101f005
交通,塱沙三路,fs0101f006
交通,塱沙路东,fs0101f007
交通,郊边市场,fs0101f008
交通,塱沙路中,fs0101f009
交通,佛山高铁站,fs0101f010
交通,联和,fs0101f011
交通,敦厚,fs0101f012
交通,孝德东,fs0101f013
交通,中山公园,fs0101f014
商业,升宝广场(张槎店),fs0101f015
商业,升平百货(升平商贸广场店),fs0101f016
商业,北极熊广场,fs0101f017
商业,同心荟商业广场,fs0101f018
商业,华强广场,fs0101f019
教育,【中学】邦耀初中,fs0101f020
教育,【幼儿园】禅城区郊边幼儿园,fs0101f021
教育,【小学】郊边小学,fs0101f022
教育,【幼儿园】爱丽斯实验幼儿园,fs0101f023
教育,【小学】张槎小学,fs0101f024
教育,【幼儿园】佛山市禅城区张槎幼儿园,fs0101f025
教育,【中学】佛山市张槎中学,fs0101f026
教育,【幼儿园】金沙新城幼儿园,fs0101f027
教育,【幼儿园】中发幼儿园,fs0101f028
教育,【幼儿园】旭升幼儿园,fs0101f029
教育,【幼儿园】禅机一幼金色里程幼儿园,fs0101f030
教育,【幼儿园】晓虹幼儿园,fs0101f031
教育,【中学】罗村一中,fs0101f032
教育,【幼儿园】张槎镇中心幼儿园,fs0101f033
教育,【幼儿园】白坭幼儿园,fs0101f034
教育,【幼儿园】东兴幼儿园(西头大道),fs0101f035
教育,【幼儿园】康乐幼儿园(西头大道),fs0101f036
教育,【小学】东鄱小学,fs0101f037
教育,【幼儿园】未来城幼儿园,fs0101f038
教育,【幼儿园】东鄱幼儿园,fs0101f039
教育,【小学】街边学校,fs0101f040
教育,【幼儿园】街边幼儿园,fs0101f041
教育,【幼儿园】敦厚幼儿园,fs0101f042
教育,【幼儿园】保利香槟幼儿园,fs0101f043
教育,【中学】佛山市第六中学,fs0101f044
教育,【小学】佛山市第十三小学,fs0101f045
教育,【幼儿园】联星幼儿园,fs0101f046
教育,【幼儿园】联和一幼,fs0101f047
教育,【幼儿园】嘉乐幼儿园(南二路),fs0101f048
教育,【幼儿园】佛山市禅城区世纪锦园幼儿园,fs0101f049
教育,【幼儿园】浚晖幼儿园,fs0101f050
教育,【幼儿园】大观幼儿园(大观街),fs0101f051
教育,【幼儿园】机关二幼诚信幼儿园,fs0101f052
教育,【幼儿园】佛山市禅城区诚信幼儿园,fs0101f053
教育,【幼儿园】东海明珠幼儿园,fs0101f054
教育,【小学】禅城区聚锦小学,fs0101f055
教育,【小学】佛山市敦厚小学,fs0101f056
教育,【小学】协同学校小学部C,fs0101f057
教育,【幼儿园】玉龙幼儿园(富康路),fs0101f058
教育,【幼儿园】蓓阳幼儿园,fs0101f059
教育,【幼儿园】朝阳幼儿园(工业路),fs0101f060
教育,【幼儿园】下塱幼儿圆,fs0101f061
教育,【小学】冠华小学,fs0101f062
教育,【小学】佛山市张槎中心小学(大沙分校),fs0101f063
教育,【小学】佛山市白燕小学,fs0101f064
教育,【幼儿园】大沙幼儿园(五峰二路),fs0101f065
教育,【小学】禅城区下朗小学,fs0101f066
教育,【幼儿园】冠华幼儿园(东鄱南路),fs0101f067
教育,【幼儿园】嘉禾新城实验幼儿园,fs0101f068
教育,【幼儿园】佛山市禅城区悦雅幼儿园,fs0101f069
教育,【幼儿园】明星幼儿园(白燕四街),fs0101f070
教育,【中学】佛山市城北中学(汾江北路),fs0101f071
教育,【幼儿园】博仁幼儿园,fs0101f072
教育,【幼儿园】豪兴幼儿园,fs0101f073
教育,【幼儿园】大江幼儿园,fs0101f074
教育,【幼儿园】化纤幼儿园,fs0101f075
教育,【幼儿园】蓓蕾幼儿园,fs0101f076
教育,【幼儿园】IEC富安花园幼儿园,fs0101f077
教育,【幼儿园】小太阳幼儿园(高基街),fs0101f078
教育,【小学】德政上朗小学,fs0101f079
教育,【幼儿园】祖庙幼儿园,fs0101f080
教育,【幼儿园】佛山市教工第二幼儿园,fs0101f081
教育,【小学】沙坑学校,fs0101f082
教育,【幼儿园】广东省陆建幼儿园,fs0101f083
教育,【幼儿园】富景花园幼儿园,fs0101f084
教育,【幼儿园】古生幼儿园(古新路),fs0101f085
教育,【幼儿园】佛科院附属幼儿园,fs0101f086
教育,【幼儿园】机关二幼松风园区,fs0101f087
教育,【幼儿园】沙坑幼儿园,fs0101f088
医疗,佛山都市妇产医院,fs0101f089
医疗,佛山市中医院禅城高新区医院,fs0101f090
医疗,佛山中山医院,fs0101f091
医疗,佛山市第一人民医院皮肤医学中心,fs0101f092
医疗,佛山市妇幼保健院(禅城院区)-产科妇产中心,fs0101f093
医疗,佛山市妇幼保健院,fs0101f094
医疗,佛山市中医院-急救中心,fs0101f095
医疗,佛山市中医院,fs0101f096
交通,三洪奇大桥南,fs0303f001
交通,广鸿新村,fs0303f002
交通,世纪路,fs0303f003
交通,伦教,fs0303f004
交通,广教,fs0303f005
教育,【幼儿园】伦教街道伦宝幼儿园,fs0303f006
教育,【中学】美辰学校-初中部,fs0303f007
教育,【幼儿园】群峰幼儿园,fs0303f008
教育,【幼儿园】美致实验幼儿园,fs0303f009
教育,【小学】美辰学校,fs0303f010
教育,【小学】三洪奇小学,fs0303f011
教育,【幼儿园】IEC万科沁园幼儿园,fs0303f012
教育,【幼儿园】北滘镇第三幼儿园,fs0303f013
教育,【幼儿园】三洪奇幼儿园,fs0303f014
教育,【幼儿园】康乐幼儿园,fs0303f015
教育,【小学】北海小学,fs0303f016
教育,【小学】朝亮小学,fs0303f017
教育,【幼儿园】灵宝幼儿园,fs0303f018
教育,【幼儿园】和泽幼儿园,fs0303f019
教育,【小学】伦教小学(分校区),fs0303f020
教育,【幼儿园】美致广厦幼儿园,fs0303f021
教育,【幼儿园】明晖幼儿园,fs0303f022
教育,【幼儿园】财贸幼儿园,fs0303f023
教育,【幼儿园】佛山市顺德区京学美伦幼儿园,fs0303f024
教育,【幼儿园】伦教幼儿园,fs0303f025
教育,【幼儿园】新伟力幼儿园,fs0303f026
教育,【小学】伦教小学,fs0303f027
教育,【幼儿园】黄涌幼儿园,fs0303f028
教育,【小学】羊额何显朝纪念小学,fs0303f029
教育,【小学】广教小学,fs0303f030
教育,【幼儿园】槎涌幼儿园,fs0303f031
教育,【幼儿园】伦教工交幼儿园,fs0303f032
教育,【小学】培教小学,fs0303f033
教育,【幼儿园】新塘幼儿园,fs0303f034
教育,【幼儿园】广教幼儿园,fs0303f035
教育,【中学】周君令中学,fs0303f036
教育,【小学】荔村小学,fs0303f037
教育,【幼儿园】爱玲幼儿园,fs0303f038
教育,【小学】熹涌陈佐乾纪念学校,fs0303f039
医疗,佛山市顺德区伦教医院,fs0303f040
交通,益禾公寓,fs0203f001
交通,良溪,fs0203f002
交通,海五桂澜路口,fs0203f003
交通,洲表村,fs0203f004
交通,佛山民间金融街,fs0203f005
交通,中海万锦豪园东,fs0203f006
交通,中海万锦豪园东站,fs0203f007
交通,承业大厦,fs0203f008
交通,保利澳尔公寓,fs0203f009
交通,宝翠北路南,fs0203f010
交通,罗芳村西,fs0203f011
交通,桂城益禾公寓,fs0203f012
交通,千灯湖,fs0203f013
交通,桂澜海三路口,fs0203f014
交通,千灯湖地铁站,fs0203f015
交通,宝华村,fs0203f016
交通,夏北综合市场,fs0203f017
交通,罗芳村,fs0203f018
交通,上教坊,fs0203f019
交通,桂澜海六路口,fs0203f020
交通,万锦豪园西,fs0203f021
交通,安定里,fs0203f022
交通,夏北村委,fs0203f023
交通,礌岗,fs0203f024
交通,金融高新区,fs0203f025
交通,华翠路,fs0203f026
交通,夏西,fs0203f027
交通,南桂路,fs0203f028
交通,西约,fs0203f029
交通,夏东,fs0203f030
商业,环宇城uni PARK,fs0203f031
商业,千灯湖环宇城,fs0203f032
商业,新凯广场,fs0203f033
商业,IPARK花园城,fs0203f034
商业,万达广场(佛山南海店),fs0203f035
商业,地铁金融城广场,fs0203f036
商业,together保利MALL,fs0203f037
商业,A32万科里,fs0203f038
商业,南海万科广场,fs0203f039
商业,城市广场,fs0203f040
商业,南海新天地广场,fs0203f041
商业,佳盛国际广场,fs0203f042
商业,顺联国际奥特莱斯(桂城店),fs0203f043
商业,万达广场(佛山桂城店),fs0203f044
商业,南海广场,fs0203f045
商业,汇潮天地购物广场,fs0203f046
商业,鸿大广场,fs0203f047
商业,惠购商业广场(东二店),fs0203f048
商业,长盛商业-越秀悦汇天地购物中心,fs0203f049
商业,南海印象汇,fs0203f050
教育,【幼儿园】佛山市南海区灯湖第二幼儿园,fs0203f051
教育,【中学】灯湖中学,fs0203f052
教育,【幼儿园】信孚中海万锦豪园幼儿园,fs0203f053
教育,【幼儿园】寰宇天下幼儿园,fs0203f054
教育,【小学】夏北小学,fs0203f055
教育,【幼儿园】佛山市南海区桂城童帅幼儿园,fs0203f056
教育,【小学】灯湖小学,fs0203f057
教育,【小学】灯湖第四小学,fs0203f058
教育,【幼儿园】夏北幼儿园,fs0203f059
教育,【幼儿园】夏西幼儿园,fs0203f060
教育,【幼儿园】北约幼儿园,fs0203f061
教育,【幼儿园】金域幼儿园,fs0203f062
教育,【幼儿园】南海桂城彩梦幼儿园,fs0203f063
教育,【幼儿园】悦闻幼儿园,fs0203f064
教育,【幼儿园】夏南一幼儿园,fs0203f065
教育,【小学】佛山市南海区桂城街道映月小学,fs0203f066
教育,【小学】灯湖第六小学,fs0203f067
教育,【幼儿园】南光中英文学校,fs0203f068
教育,【幼儿园】南光中英文幼儿园,fs0203f069
教育,【小学】映月第七小学,fs0203f070
教育,【幼儿园】梅沙幼儿园,fs0203f071
教育,【小学】灯湖第三小学,fs0203f072
教育,【幼儿园】佛山市南海区亮晶晶幼儿园,fs0203f073
教育,【小学】南海实验小学(灯湖校区),fs0203f074
教育,【幼儿园】哈罗幼儿园,fs0203f075
教育,【幼儿园】西门幼儿园,fs0203f076
教育,【幼儿园】红苹果幼儿园,fs0203f077
教育,【幼儿园】灯湖幼儿园,fs0203f078
教育,【小学】星火小学,fs0203f079
