house_name,house_link,average_price,house_address,floor_plan,floor_size,house_id
碧桂园云樾金沙,https://fs.fang.anjuke.com/loupan/479505.html?from=AF_RANK_2,18000,里水大道南105号 （距广佛高速沙涌收费...,"('3', '4')","('87', '123')",fs0201h001
碧桂园世纪中心,https://fs.fang.anjuke.com/loupan/504594.html?from=AF_RANK_3,17000,东平社区裕和路155号,"('3', '4')","('126', '142')",fs0301h001
北滘碧桂园凤凰台,https://fs.fang.anjuke.com/loupan/504007.html?from=AF_RANK_4,9500,马龙村骏悦路4号,"('2', '3')","('98', '230')",fs0302h001
保利新汇城,https://fs.fang.anjuke.com/loupan/450816.html?from=AF_RANK_5,14000,隆昌街6号,"('3', '4')","('86', '121')",fs0101h001
广佛保利城,https://fs.fang.anjuke.com/loupan/473090.html?from=AF_RANK_6,10500,荔村村教育路东3号和教育路西2号,"('3', '4')","('73', '121')",fs0303h001
保利学府里,https://fs.fang.anjuke.com/loupan/504157.html?from=AF_RANK_7,7100,云东海大道5号,"('3', '4')","('97', '125')",fs0401h001
越秀·星汇灯湖,https://fs.fang.anjuke.com/loupan/529675.html?from=AF_RANK_8,-1,海八西路3号（南海全民健身公园旁）,"('3', '4')","('86', '106')",fs0202h001
保利·和著,https://fs.fang.anjuke.com/loupan/523859.html?from=AF_RANK_9,22500,深海路63号（佛山南海保时捷中心旁）,"('-1', '-1')","('119', '163')",fs0203h001
五矿万境水岸,https://fs.fang.anjuke.com/loupan/516361.html?from=AF_RANK_10,19000,乔岸路以南、环湖路以西,"('3', '4')","('102', '263')",fs0304h001
华福·金湾水岸,https://fs.fang.anjuke.com/loupan/518663.html?from=AF_RANK_11,13500,常教社区伦教水厂路11号,"('3', '4')","('95', '175')",fs0303h002
万科金域半岛,https://fs.fang.anjuke.com/loupan/502858.html?from=AF_RANK_12,12500,善德路16号,"('3', '4')","('87', '116')",fs0102h001
保利琅悦,https://fs.fang.anjuke.com/loupan/523802.html?from=AF_RANK_13,25000,桂澜路西侧、绿景东路北侧,"('3', '4')","('89', '173')",fs0203h002
保利天际|保利天悦,https://fs.fang.anjuke.com/loupan/520737.html?from=AF_RANK_14,9999,清风西路36号,"('-1', '-1')","('63', '158')",fs0203h003
保利时光印象,https://fs.fang.anjuke.com/loupan/469519.html?from=AF_RANK_15,9000,细滘社区105国道细滘段1号,"('2', '3')","('69', '96')",fs0305h001
保利中交大都汇,https://fs.fang.anjuke.com/loupan/460040.html?from=AF_RANK_16,12000,登贤大道30号,"('3', '4')","('93', '141')",fs0102h002
保利清能和府,https://fs.fang.anjuke.com/loupan/495172.html?from=AF_RANK_17,7699,映海路29号,"('3', '4')","('80', '113')",fs0401h002
美的鹭湖森林度假区,https://fs.fang.anjuke.com/loupan/298374.html?from=AF_RANK_18,7000,高明大道中218号,"('2', '3')","('77', '264')",fs0501h001
保利珺悦府,https://fs.fang.anjuke.com/loupan/515585.html?from=AF_RANK_19,21000,北滘新城美的大道地铁站D出口,"('-1', '-1')","('119', '240')",fs0302h002
保利智慧云城,https://fs.fang.anjuke.com/loupan/511155.html?from=AF_RANK_20,9500,齐宁路,"('3', '4')","('84', '137')",fs0306h001
绿地未来城,https://fs.fang.anjuke.com/loupan/432327.html?from=AF_RANK_21,7500,昌荣路与泰华路交汇处,"('-1', '-1')","('95', '115')",fs0103h001
保利·湖光里,https://fs.fang.anjuke.com/loupan/526454.html?from=AF_RANK_22,1300,博爱湖旁,"('-1', '-1')","('160', '275')",fs0204h001
映月湖保利天珺,https://fs.fang.anjuke.com/loupan/489848.html?from=AF_RANK_23,28000,夏东信北路映月湖公园西北侧,"('3', '4')","('87', '288')",fs0203h004
越秀·星汇文瀚,https://fs.fang.anjuke.com/loupan/517366.html?from=AF_RANK_24,22000,清风路118号,"('2', '3')","('84', '113')",fs0203h005
电建地产·岭南华曦府,https://fs.fang.anjuke.com/loupan/525471.html?from=AF_RANK_25,16500,东乐路,"('3', '4')","('98', '135')",fs0304h002
保利云上,https://fs.fang.anjuke.com/loupan/243853.html?from=AF_RANK_26,165,学海中路1号,"('-1', '-1')","('144', '1033')",fs0401h003
首开平湖如院,https://fs.fang.anjuke.com/loupan/509723.html?from=AF_RANK_27,15000,东平社区百顺路31号,"('3', '4')","('95', '140')",fs0301h002
保利华侨城云禧,https://fs.fang.anjuke.com/loupan/471787.html?from=AF_RANK_28,21000,科丰路10号,"('3', '4')","('98', '171')",fs0203h006
城发·灯湖悦园,https://fs.fang.anjuke.com/loupan/520234.html?from=AF_RANK_29,18000,海五路与货站路交汇处,"('2', '3')","('83', '118')",fs0101h002
保利御江南,https://fs.fang.anjuke.com/loupan/474368.html?from=AF_RANK_30,7500,金泉大道3号,"('3', '4')","('97', '190')",fs0402h001
唯美臻岸华府,https://fs.fang.anjuke.com/loupan/459535.html?from=AF_RANK_31,11000,新基北路新基三桥桂畔海旁,"('3', '4')","('98', '230')",fs0304h003
保利德胜天汇,https://fs.fang.anjuke.com/loupan/522037.html?from=AF_RANK_32,23000,苏岗社区德民东路8号,"('-1', '-1')","('108', '216')",fs0304h004
新怡明德世家,https://fs.fang.anjuke.com/loupan/525528.html?from=AF_RANK_33,14500,皇朝西路与建设西路交汇处,"('3', '4')","('93', '137')",fs0205h001
龙湖江与城,https://fs.fang.anjuke.com/loupan/490129.html?from=AF_RANK_34,12500,龙湖江与城营销中心（3号线伦教站旁）,"('3', '4')","('85', '122')",fs0303h003
金辉辉逸云庭,https://fs.fang.anjuke.com/loupan/485694.html?from=AF_RANK_35,12000,科翔路2号,"('2', '3')","('67', '142')",fs0102h003
保利时代天珀,https://fs.fang.anjuke.com/loupan/473205.html?from=AF_RANK_36,18000,货站路49号,"('3', '4')","('97', '133')",fs0101h003
万科世纪灯湖·瑧府,https://fs.fang.anjuke.com/loupan/520371.html?from=AF_RANK_37,50000,南海区华翠北路与宝石西路交汇处西南侧,"('4', '5')","('143', '237')",fs0202h002
保利铂悦府,https://fs.fang.anjuke.com/loupan/510428.html?from=AF_RANK_38,10500,容里社区昌明西路3号,"('3', '4')","('93', '141')",fs0305h002
东建天赋龙湾,https://fs.fang.anjuke.com/loupan/525658.html?from=AF_RANK_39,18000,莲瑞街2号,"('3', '4')","('97', '187')",fs0103h002
保利锦鲤堂悦,https://fs.fang.anjuke.com/loupan/529503.html?from=AF_RANK_40,-1,海三路叠滘地铁站旁,"('3', '4')","('89', '122')",fs0101h004
保利天瓒,https://fs.fang.anjuke.com/loupan/526376.html?from=AF_RANK_41,35000,西区三横路15号,"('3', '4')","('120', '198')",fs0205h002
海伦堡玖悦澜湾,https://fs.fang.anjuke.com/loupan/495198.html?from=AF_RANK_42,10000,凤跃路6号,"('3', '4')","('95', '130')",fs0102h004
海骏达康格斯,https://fs.fang.anjuke.com/loupan/243760.html?from=AF_RANK_43,10000,105国道大良路段（大良古楼旁）,"('3', '4')","('88', '151')",fs0304h005
保利湖映琅悦,https://fs.fang.anjuke.com/loupan/526351.html?from=AF_RANK_44,14500,荷湖北路33号,"('-1', '-1')","('109', '258')",fs0401h004
招商华玺,https://fs.fang.anjuke.com/loupan/521547.html?from=AF_RANK_45,65000,宝石西路北侧、宝宜路东侧、华永路南侧...,"('3', '4')","('160', '322')",fs0203h007
顺控•桂樾台,https://fs.fang.anjuke.com/loupan/521150.html?from=AF_RANK_46,10000,文海中路12号,"('-1', '-1')","('89', '125')",fs0305h003
时代灯湖天境,https://fs.fang.anjuke.com/loupan/482308.html?from=AF_RANK_47,21000,海八路,"('3', '4')","('88', '280')",fs0202h003
越秀·阅湖台,https://fs.fang.anjuke.com/loupan/497943.html?from=AF_RANK_48,17000,孝德湖公园东侧,"('2', '3')","('93', '230')",fs0206h001
港龙滨江公园,https://fs.fang.anjuke.com/loupan/505360.html?from=AF_RANK_49,11000,常教社区水厂路13号,"('3', '4')","('83', '136')",fs0303h004
大华紫樾府,https://fs.fang.anjuke.com/loupan/511110.html?from=AF_RANK_50,16000,季华路二路与禅西大道交汇处（三轨TOD...,"('-1', '-1')","('142', '168')",fs0103h003
桂南星晴公馆,https://fs.fang.anjuke.com/loupan/459021.html?from=AF_RANK_51,18000,桂城街道南桂东路58号,"('2', '3')","('68', '112')",fs0203h008
乐平嘉洲广场,https://fs.fang.anjuke.com/loupan/522337.html?from=AF_RANK_52,4900,乐平大道72号,"('-1', '-1')","('38', '84')",fs0403h001
大学城禾粤,https://fs.fang.anjuke.com/loupan/528755.html?from=AF_RANK_53,8200,和众路3号,"('1', '3')","('35', '123')",fs0204h002
合景新鸿基泷景,https://fs.fang.anjuke.com/loupan/250361.html?from=AF_RANK_54,15500,前进路19号,"('3', '4')","('85', '188')",fs0104h001
